Section,Subscale,Item_Number,Statement
Part 1,Free Will (FW),1,People always have the ability to do otherwise.
Part 1,Free Will (FW),2,People always have free will.
Part 1,Free Will (FW),3,How people's lives unfold is completely up to them.
Part 1,Free Will (FW),4,People ultimately have complete control over their decisions and their actions.
Part 1,Free Will (FW),5,People have free will even when their choices are completely limited by external circumstances.
,,,
Part 1,Determinism (DE),1,"Everything that has ever happened had to happen precisely as it did, given what happened before."
Part 1,Determinism (DE),2,"Every event that has ever occurred, including human decisions and actions, was completely determined by prior events."
Part 1,Determinism (DE),3,People's choices and actions must happen precisely the way they do because of the laws of nature and the way things were in the distant past.
Part 1,Determinism (DE),4,A supercomputer that could know everything about the way the universe is now could know everything about the way the universe will be in the future.
Part 1,Determinism (DE),5,"Given the way things were at the Big Bang, there is only one way for everything to happen in the universe after that."
,,,
Part 1,Dualism (DU),1,The fact that we have souls that are distinct from our material bodies is what makes humans unique.
Part 1,Dualism (DU),2,Each person has a non-physical essence that makes that person unique.
Part 1,Dualism (DU),3,The human mind cannot simply be reduced to the brain.
Part 1,Dualism (DU),4,The human mind is more than just a complicated biological machine.
Part 1,Dualism (DU),5,Human action can only be understood in terms of our souls and minds and not just in terms of our brains.
,,,
Part 2,Free Will Concepts,1,Free will is the ability to make different choices even if everything leading up to one's choice were exactly the same.
Part 2,Free Will Concepts,2,"Free will is the ability to make a choice based on one's beliefs and desires such that, if one had different beliefs or desires, one's choice would have been different as well."
Part 2,Free Will Concepts,3,People could have free will even if scientists discovered all of the laws that govern all human behavior.
Part 2,Free Will Concepts,4,To have free will means that a person's decisions and actions could not be perfectly predicted by someone else no matter how much information they had.
Part 2,Free Will Concepts,5,"If it turned out that people lacked non-physical (or immaterial) souls, then they would lack free will."
Part 2,Free Will Concepts,6,To have free will is to be able to cause things to happen in the world without at the same time being caused to make those things happen.
Part 2,Free Will Concepts,7,People have free will as long as they are able to do what they want without being coerced or constrained by other people.
,,,
Part 2,Moral Responsibility Concepts,8,To be responsible for our present decisions and actions we must also be responsible for all of our prior decisions and actions that led up to the present moment.
Part 2,Moral Responsibility Concepts,9,People deserve to be blamed and punished for bad actions only if they acted of their own free will.
Part 2,Moral Responsibility Concepts,10,People who harm others deserve to be punished even if punishing them will not produce any positive benefits to either the offender or society.
Part 2,Moral Responsibility Concepts,11,People who perform harmful actions ought to be rehabilitated so they no longer pose a threat to society.
Part 2,Moral Responsibility Concepts,12,People who perform harmful actions ought to be punished so that other potential offenders are deterred from committing similar harmful actions.
Part 2,Moral Responsibility Concepts,13,People could be morally responsible even if scientists discovered all of the laws that govern human behavior.
Part 2,Moral Responsibility Concepts,14,"If it turned out that people lacked non-physical (or immaterial) souls, then they would lack moral responsibility."
