model,compat,intel,entropy_part2
claude-haiku-4-5,0.039714837,31,3.204
claude-opus-4-6,0.071025463,46,2.829
claude-sonnet-4-6,0.073241675,43,3.079
deepseek-chat,0.060424499,32,2.88
gemini-3-flash-preview,0.062934169,46,2.906
gemini-3.1-pro-preview,0.03034985,57,2.943
google_gemma-3-4b,-0.041703771,6,3.095
gpt-4o-2024-08-06,0.017341332,19,3.045
gpt-5.4-mini,0.068778319,23,3.045
gpt-5.4-nano,0.004474315,24,3.207
gpt-5.4,0.066778489,35,2.859
grok-4-1-fast-reasoning,0.055160687,39,3.006
grok-4.20-0309-reasoning,0.052756848,49,2.924
meta-llama-3-8b-instruct,-0.028501968,6,2.93
mistral-large-2512,0.008998105,23,3.29
mistral-medium-2508,0.068406035,21,2.64
nvidia_nemotron-3-nano,0.01560644,24,2.973
openai_gpt-oss-20b,0.023433972,21,3.188
phi-4-reasoning-vision-15b,0.02914201,10,2.904
qwen_qwen3-vl-8b,0.012671968,14,3.682
