"model","metric","estimate"
"claude-haiku-4-5","Mass contrast",0.296145427349155
"claude-haiku-4-5","Mean-item contrast",0.0397148366434045
"claude-opus-4-6","Mass contrast",0.461063949253475
"claude-opus-4-6","Mean-item contrast",0.071025463366207
"claude-sonnet-4-6","Mass contrast",0.473241249095404
"claude-sonnet-4-6","Mean-item contrast",0.0732416746781785
"deepseek-chat","Mass contrast",0.409633347061464
"deepseek-chat","Mean-item contrast",0.0604244993918095
"gemini-3-flash-preview","Mass contrast",0.414169876425576
"gemini-3-flash-preview","Mean-item contrast",0.062934168705817
"gemini-3.1-pro-preview","Mass contrast",0.236157185229314
"gemini-3.1-pro-preview","Mean-item contrast",0.0303498497835302
"google_gemma-3-4b","Mass contrast",-0.148504562309753
"google_gemma-3-4b","Mean-item contrast",-0.0417037713474688
"gpt-4o-2024-08-06","Mass contrast",0.167514864288149
"gpt-4o-2024-08-06","Mean-item contrast",0.0173413319670944
"gpt-5.4-mini","Mass contrast",0.450499286119245
"gpt-5.4-mini","Mean-item contrast",0.0687783189880229
"gpt-5.4-nano","Mass contrast",0.102194314973115
"gpt-5.4-nano","Mean-item contrast",0.0044743153212515
"gpt-5.4","Mass contrast",0.443125192951923
"gpt-5.4","Mean-item contrast",0.0667784892491005
"grok-4-1-fast-reasoning","Mass contrast",0.37774632327757
"grok-4-1-fast-reasoning","Mean-item contrast",0.0551606866955445
"grok-4.20-0309-reasoning","Mass contrast",0.363230640147903
"grok-4.20-0309-reasoning","Mean-item contrast",0.0527568482739165
"meta-llama-3-8b-instruct","Mass contrast",-0.0806953756188891
"meta-llama-3-8b-instruct","Mean-item contrast",-0.0285019679136682
"mistral-large-2512","Mass contrast",0.126972549540945
"mistral-large-2512","Mean-item contrast",0.00899810547867627
"mistral-medium-2508","Mass contrast",0.448060328700895
"mistral-medium-2508","Mean-item contrast",0.0684060348197125
"nvidia_nemotron-3-nano","Mass contrast",0.153663391669909
"nvidia_nemotron-3-nano","Mean-item contrast",0.0156064402515433
"openai_gpt-oss-20b","Mass contrast",0.208853162482176
"openai_gpt-oss-20b","Mean-item contrast",0.0234339718155765
"phi-4-reasoning-vision-15b","Mass contrast",0.237758171582391
"phi-4-reasoning-vision-15b","Mean-item contrast",0.0291420102887475
"qwen_qwen3-vl-8b","Mass contrast",0.14031422859045
"qwen_qwen3-vl-8b","Mean-item contrast",0.0126719677249971
"OVERALL","Mass contrast",0.264057177540521
"OVERALL","Mean-item contrast",0.0345516637090997
