"model","FW1","FW2","FW3","FW4","FW5","DE1","DE2","DE3","DE4","DE5","DU1","DU2","DU3","DU4","DU5"
"claude-haiku-4-5",0.0031457173849951,0.00018871638937386,0.00274852782077367,0.00252783715699361,0.0178491041043256,0.20765344195804,0.307573713112934,0.086366759061938,0.243766024838602,0.106439623035231,0.000116265673851889,0.00455737269861373,0.00315637933439802,0.00894601762684757,0.00496449980308187
"claude-opus-4-6",0.010055188275442,0.00389386426658956,0.00376542460251022,0.00523472415320895,0.00411923228752492,0.142982326283119,0.193449672993943,0.202598318878148,0.228928835183574,0.193833774422716,0.000271554429277148,0.000950157560382943,0.00678313651654018,0.00236150770502748,0.000772282441997476
"claude-sonnet-4-6",0.00924019852659069,0.00231606275625577,0.00815471656590624,0.00501401921719164,0.00319097797233986,0.197985319383307,0.168769386093657,0.15200898101298,0.242022257803032,0.200941756667111,0.000255582657813698,0.000616461529484641,0.00418101475742993,0.0046607622929613,0.000642502763938309
"deepseek-chat",0.00546115639510276,0.000249395692654221,0.00229405304903571,0.00719059808297234,0.00218557076701226,0.0921985527266676,0.107541622922219,0.283689191393715,0.219592727429097,0.257964142774695,0.000241718794278167,0.000301412780782939,0.0158535793740023,0.00399203842834295,0.00124423938942233
"gemini-3-flash-preview",0.00544967752856152,0.000984268782257147,0.000998533838176328,0.00763093810704368,0.00343324698706577,0.167411107554654,0.153063651958791,0.203052873966375,0.274955583910961,0.163193168121232,0.000250573537970869,0.0027351722251872,0.00732922328818059,0.00848513591889725,0.00102684427464568
"gemini-3.1-pro-preview",0.00829550367433792,0.000191221523890858,0.000416534664894278,0.00657114480627671,0.0105741550192277,0.0695893680079879,0.243560610139056,0.184301428579986,0.230140428888505,0.233677521281994,0.000283484819735757,0.000777617069628634,0.00773225290761587,0.00353796985854205,0.000350758758320898
"google_gemma-3-4b",0.0150405858701913,0.0174652278496748,0.0140185818083375,0.0191828409754791,0.0109343527703975,0.0133449572639541,0.654015050890043,0.0379854830521414,0.0357553139854653,0.0151541878268564,0.0125560490364028,0.0143150548815762,0.0328540831001107,0.0890772169222324,0.0183010137671371
"gpt-4o-2024-08-06",0.00726278724446043,0.0054980372694666,0.00650105810725462,0.00348715277480022,0.00763988643581119,0.223202564804869,0.193337346634272,0.137329394898272,0.20937985988289,0.198497838978859,0.000190377721808488,0.000275397619613989,0.0013839690936378,0.00572426531384795,0.000290063220137482
"gpt-5.4-mini",0.00457842737101871,0.000397796387046929,0.00350956009977936,0.00334124056977763,0.00356365691225561,0.211078638583932,0.129603469908973,0.173752074226064,0.341372880699593,0.0975993916811972,0.000158197736397386,0.00133216876000924,0.0096611962387186,0.0115431724438888,0.00850812838134898
"gpt-5.4-nano",0.00661614683486769,0.0323773089642699,0.0404504343430274,0.0171681400936524,0.0315001308654977,0.0107982068731533,0.0133869480797932,0.0097467277563064,0.477774056364138,0.0212460013308327,0.00250599154378635,0.00269048210880424,0.224609831814525,0.0838805931905839,0.0252489998367616
"gpt-5.4",0.00271533707767143,0.000203148734667956,0.00827671470782123,0.00655507101705507,0.00739509936865578,0.168429240891673,0.144209928322241,0.179933643991526,0.177458868780887,0.291521773209453,0.000157492331986123,0.000968795279479193,0.00731208045361808,0.00385834713046382,0.00100445870280181
"grok-4-1-fast-reasoning",0.00708436456938455,0.00111720298783067,0.000104283664386865,0.00341673277194283,0.0134806394500837,0.058930327062165,0.26717330891539,0.186413765892281,0.154173628958132,0.294243860040967,0.000185845782231989,0.00141028902243309,0.0104929432981486,0.00142576320264031,0.00034704438198285
