"model","FW1","FW2","FW3","FW4","FW5","DE1","DE2","DE3","DE4","DE5","DU1","DU2","DU3","DU4","DU5"
"claude-opus-4-6",0.010055188275442,0.00389386426658956,0.00376542460251022,0.00523472415320895,0.00411923228752492,0.142982326283119,0.193449672993943,0.202598318878148,0.228928835183574,0.193833774422716,0.000271554429277148,0.000950157560382943,0.00678313651654018,0.00236150770502748,0.000772282441997476
"gemini-3.1-pro-preview",0.00829550367433792,0.000191221523890858,0.000416534664894278,0.00657114480627671,0.0105741550192277,0.0695893680079879,0.243560610139056,0.184301428579986,0.230140428888505,0.233677521281994,0.000283484819735757,0.000777617069628634,0.00773225290761587,0.00353796985854205,0.000350758758320898
"google__gemma-3-4b",0.0150405858701918,0.0174652278496759,0.0140185818083383,0.0191828409754812,0.010934352770398,0.0133449572639549,0.654015050890022,0.0379854830521438,0.0357553139854673,0.0151541878268572,0.0125560490364033,0.0143150548815769,0.0328540831001128,0.0890772169222383,0.0183010137671383
"gpt-5.4",0.00271533707767143,0.000203148734667956,0.00827671470782123,0.00655507101705507,0.00739509936865578,0.168429240891673,0.144209928322241,0.179933643991526,0.177458868780887,0.291521773209453,0.000157492331986123,0.000968795279479193,0.00731208045361808,0.00385834713046382,0.00100445870280181
"meta-llama-3-8b-instruct",0.00713544178736979,0.000504411127597393,0.00207631894059424,0.00476888409527282,0.00608550906840788,0.153282621463156,0.193834586875145,0.119107067667033,0.30599587934717,0.189567267177203,0.00133851380856695,0.000798012231427776,0.00232736680702972,0.00858576162794093,0.00459235797608526
"mistral-large-2512",0.00253938988254349,0.000835966120413412,0.00167622729291817,0.00251977459524397,0.0101382228511687,0.0894997826944994,0.159809324913736,0.234617199437149,0.129901032989928,0.346945307237031,0.000104967348108455,0.000119832952032441,0.0161794753841799,0.00407323106264149,0.00104026523840552
"mistral-medium-2508",0.00217909839008059,0.00251565034222642,0.0053367515946858,0.00287328375536646,0.0137985960747168,0.166280518236256,0.200646982598053,0.13427318516392,0.149124465682375,0.311105190870931,0.000103299467073781,0.000298918880495939,0.0048802518442888,0.0049274495635571,0.00165635753597282
"nvidia__nemotron-3-nano_fixed",0.00449626416134195,0.000377223545964104,0.00386509525580884,0.00304594697957416,0.00960197811986401,0.148460288725597,0.194921898178008,0.310196831615102,0.214828309997868,0.0776728001295347,0.000492800973119676,0.000732246368288843,0.0218687677092072,0.00627907434076915,0.00316047389995292
"openai__gpt-oss-20b",0.0031131902336629,0.000813721753216946,0.00481603829586825,0.0034441837338925,0.00467623623764168,0.218785205063072,0.24052184398165,0.139715046649682,0.168200753795843,0.194862861901262,0.00330216704786536,0.00826642081808692,0.00302323634718206,0.00365617510696177,0.00280291903411198
"qwen__qwen3-vl-8b",0.0250018540107356,0.0221934133189959,0.0506260353616926,0.0264487473988729,0.0292796011728549,0.0535602910414601,0.0876946144579194,0.150727993127055,0.377870972126396,0.0753237000214219,0.01647858471196,0.00986545612571317,0.0311785074385668,0.0215784169967135,0.0221718126896421
