"model","FC1","FC2","FC3","FC4","FC5","FC6","FC7","MC1","MC2","MC3","MC4","MC5","MC6","MC7"
"claude-haiku-4-5",0.0183163404684174,0.184309703575591,0.164843108018703,0.0350009255516285,0.0110248223428241,0.183135173315819,0.0843278587107927,0.0186981426735091,0.0126406439911892,0.0136103337981561,0.0516351897947292,0.0214315821663543,0.156791876747364,0.044234298844922
"claude-opus-4-6",0.00508506353877652,0.340558173588636,0.0725939420168138,0.00400313728169531,0.0500078087629744,0.00320482696594491,0.0559373915409344,0.0375683741929444,0.0410852391455319,0.0223607335618171,0.25640284954547,0.0183493641708075,0.0765475690310571,0.0162955266565974
"claude-sonnet-4-6",0.00563344699044373,0.224687584251222,0.135066077153774,0.00951196627173601,0.14971135166862,0.0149334243396303,0.00951196627173601,0.0351780435722507,0.0113742079713781,0.0102833826622623,0.124666380497118,0.124666380497118,0.12956574223101,0.0152100456217004
"deepseek-chat",0.00528876620312684,0.205641258758578,0.174407648640003,0.029955262513319,0.0318369408392544,0.0247157773644484,0.029955262513319,0.0319054106578033,0.0113061238127385,0.0228484289538235,0.269597366290808,0.00332836249100675,0.156072492627624,0.00314089833414769
"gemini-3-flash-preview",0.00442029339903695,0.191328489298838,0.121532136308475,0.0298774404231217,0.191328489298837,0.00442029339903703,0.0298774404231217,0.0293599827353003,0.00994888876171525,0.00994888876171534,0.268896959016693,0.0033197157132684,0.0763809997255394,0.0293599827353
"gemini-3.1-pro-preview",0.00450979921128373,0.195202672897882,0.123993061856015,0.243955459440683,0.195202672897882,0.00450979921128373,0.0174585778783233,0.0299544879608729,0.0101503428469067,0.0101503428469067,0.0532218538099984,0.00380880109856177,0.0779276400825272,0.0299544879608729
"google_gemma-3-4b",0.141598890470147,0.235555193158724,0.00590592272490633,0.113029248854554,0.0156557154515158,0.156952489280499,0.00448740537708956,0.011924350548453,0.0368795192488662,0.135832493927892,0.0893973656242051,0.0260549253904237,0.0107807637886061,0.0159457161541184
"gpt-4o-2024-08-06",0.0286743403751439,0.052583913833963,0.123747113731989,0.227855887809697,0.167051198157673,0.0188355237011495,0.0248287786320098,0.0386017310905577,0.00702274091456883,0.0106864762412111,0.0223955407572026,0.0223955407572026,0.237218341524116,0.018102872473516
"gpt-5.4-mini",0.0188355237011493,0.167051198157664,0.123747113731997,0.0223955407572028,0.0525839138339643,0.0286743403751443,0.0223955407572028,0.0181028724735157,0.0106864762412112,0.00702274091456905,0.227855887809695,0.0248287786320101,0.237218341524117,0.0386017310905585
"gpt-5.4-nano",0.0364218783776488,0.0753860158333422,0.211276333516468,0.1356448620152,0.0443233996073975,0.00977603424217692,0.00538527511910041,0.0211305014948778,0.0403411124930074,0.215190618597297,0.107284560804613,0.0312681659891133,0.0572575808168718,0.00931366109288627
"gpt-5.4",0.00609948226070581,0.376263573200116,0.0851590804604191,0.00643554071437127,0.00942000748415988,0.0142446080347192,0.0269725085378226,0.0417791662599521,0.0461108656632978,0.0295392857568781,0.174496656309995,0.0416342575914284,0.127626176183011,0.0142187915431244
"grok-4-1-fast-reasoning",0.00401469731629689,0.232570744240941,0.250792222435677,0.0297840910103334,0.0666603212284362,0.0281875940606831,0.00710637386542092,0.0328504622209064,0.0142144887147256,0.0381632641952805,0.0459741616682363,0.192686028862693,0.0395473552739441,0.0174481949064252
"grok-4.20-0309-reasoning",0.00674875922564482,0.409826558151597,0.0823164548275975,0.0385317964773407,0.0461912902840871,0.0123796842835705,0.0385317964530706,0.046701861146866,0.0479432739316588,0.0235593517381453,0.0899075265096452,0.0165136269145342,0.130374270411986,0.0104737496442562
"meta-llama-3-8b-instruct",0.0487837429216464,0.145534248152515,0.0181060620293811,0.218872257151467,0.0622124028559735,0.328676541263785,0.0238498616953562,0.00692633237274094,0.0170558813562886,0.013744802691919,0.0215125581962386,0.0215125581962386,0.0342635319943049,0.0389492191221446
"mistral-large-2512",0.0993954432994029,0.287278814986598,0.076394779901683,0.0970295445616127,0.0217212304695836,0.110175423539473,0.0402728587630424,0.0122072143521832,0.0454087706805147,0.0169995899169885,0.0246596643032764,0.0594126199209646,0.0901858088254097,0.0188582364792674
"mistral-medium-2508",0.00555783739138085,0.460965156554738,0.0263742949106531,0.00775738336813672,0.014182063817009,0.0145347930542002,0.00775738336813672,0.0397876719614059,0.0761849149670801,0.00875930288015267,0.101670345498094,0.101670345498094,0.118418428632697,0.0163800780982213
"nvidia_nemotron-3-nano",0.0121349108884305,0.0638315810849467,0.0358095638052354,0.044702903941172,0.206609203561784,0.00566509447559913,0.0185542833738035,0.326528707961283,0.0191376761831416,0.00623436731868975,0.0730064116561478,0.0303018734237612,0.122413854711151,0.0350695676148553
"openai_gpt-oss-20b",0.116644909532718,0.0318555661663517,0.150105176630015,0.0331601866223941,0.0181512565729971,0.0434229794308967,0.00791189844143741,0.141024605898735,0.00572285828922816,0.017721891249957,0.214527423230649,0.051185442451738,0.156009362875702,0.0125564426071803
"phi-4-reasoning-vision-15b",0.0354142075747775,0.103582669945666,0.157908010203717,0.258247414499268,0.0234834603342616,0.0217145416040773,0.0184813742779814,0.00531468466663768,0.00930562017739739,0.0194193343837693,0.00403193643960459,0.0563398154504597,0.262512493291617,0.024244437150765
"qwen_qwen3-vl-8b",0.0451079060183501,0.138277468032941,0.0783758156628475,0.079422907269897,0.0669360434471539,0.0602549991627203,0.0329650869647726,0.0309224234582409,0.0947921356295056,0.0709630056861787,0.0538368352253919,0.129709292073074,0.0545560542525179,0.0638800271164085
